Theta,Va
-0.0133,1.9
0.206,18
-0.162,2.62
0.125,1.63
-0.209,2.82
0.112,19.2
-0.151,4
0.217,18.3
-0.243,6.39
0.0829,18.8
0.587,3.59
0.294,19.6
-0.0229,1.95
0.201,20.5
0.273,3.06
-0.184,5.3
0.152,1.74
-0.173,4.74
0.177,20.1
0.284,17.4
0.0625,1.62
0.163,20.6
0.472,3.66
0.298,17.4
-0.245,6.5
0.446,15.6
0.0504,20.6
0.242,18
0.349,3.95
0.0642,19.1
-0.131,2.49
0.185,18.6
0.137,1.39
-0.25,5.68
0.0667,19.4
0.134,18.6
0.355,16.4
0.13,1.36
0.389,16.7
0.128,18.6
0.0495,4
0.028,4
0.124,1.63
0.19,18.5
-0.186,4
0.363,2.11
0.143,20.1
0.614,4
0.148,19.5
0.157,18.3
0.118,19.9
0.238,2.68
0.181,1.79
0.203,2.15
0.296,1.58
-0.146,4.02
0.421,3.33
0.407,4
0.322,3.51
0.181,1.94
0.306,3.89
0.121,18.6
0.334,3.75
0.228,17.9
0.33,2.8
0.135,1.38
0.148,19.1
0.157,19.3
0.23,20.2
0.326,17.2
-0.191,2.73
-0.212,5.84
0.0309,4
0.187,18.4
0.263,2.32
0.145,18.4
0.266,2.97
0.466,15.6
0.299,3.89
0.246,19.8
0.137,19.9
0.141,1.69
0.223,17.9
0.198,18.7
0.188,20.1
0.39,3.43
