Theta,Va
0.123,4
-0.00904,17.2
0.0441,18
-0.16,4.87
0.514,11.2
0.586,6.79
0.482,13.1
0.372,16.3
0.108,18.3
0.475,4
0.205,4
0.602,8.51
0.127,17.9
-0.00873,4
0.209,4
0.373,16.1
0.482,13.2
0.114,17.7
-0.0636,15.9
0.358,4.57
0.382,4
0.52,11.5
0.248,17.5
-0.0634,15.1
0.304,4.11
0.563,4
0.181,4
0.209,16
0.224,5.32
-0.216,9.9
0.12,16.5
0.0362,4
0.188,18.1
0.446,4
0.458,4
0.15,4
0.161,4
0.62,4.67
0.2,4
0.247,17.2
0.154,4
-0.0348,15.9
0.308,4.49
0.6,8.72
-0.203,8.89
0.561,10.2
0.093,17.5
0.0412,17
0.127,17.9
0.262,4
-0.193,15.7
-0.028,16.6
0.497,12.2
-0.156,8.46
0.181,18.1
0.115,17.1
-0.198,7.91
0.204,4
0.432,15.1
0.111,17.7
0.415,4
0.161,17.3
0.181,16.2
0.52,10.8
0.097,4
0.455,14.2
0.471,13.6
0.255,4
0.483,13.6
-0.188,6.73
0.181,4
0.0931,18
0.464,14.2
0.36,4
-0.233,15.6
-0.0421,15.7
0.571,7.31
-0.29,12.3
-0.19,7.42
0.107,4
0.595,7.37
0.415,4
-0.195,16.2
0.142,4
0.0932,17.9
0.254,4
0.11,4
-0.128,4
-0.13,4
-0.197,12.1
0.051,17.6
-0.091,4
0.148,17.4
0.117,17.1
0.534,9.13
0.482,13.8
0.0232,16.8
0.329,4
0.531,11.3
-0.0467,15.5
-0.194,16.4
0.415,15.5
-0.1,4
0.134,4
0.657,4
0.231,4
0.153,16.9
-0.0173,4
0.259,4
0.236,4
0.0152,17.2
-0.00744,16.7
0.412,4
-0.105,4
-0.199,8.35
-0.0171,17
-0.0215,16.1
0.121,17.1
0.228,4
0.115,4
-0.151,15.2
0.104,18.2
0.527,9.48
0.601,8.63
0.315,4
0.15,4
-0.0972,18
0.558,9.38
-0.118,4
0.232,17.6
0.348,4
0.17,16.4
0.576,4
0.2,4
0.436,4
0.137,17.2
0.556,7.06
0.29,5.2
0.427,11.1
-0.193,15.7
0.127,17.9
-0.0567,4
0.619,4.73
0.458,14.4
0.0867,17.5
0.43,14.8
0.399,4
0.655,5.67
0.0159,17.2
0.415,15.9
0.323,4.25
0.545,4
0.0272,16.8
0.534,6.88
0.407,4
-0.0268,18.5
0.51,11.5
0.251,4.94
0.244,5.03
0.153,4
0.0357,16.8
-0.221,11.5
-0.114,15
0.529,9.79
0.481,4
0.185,4
-0.142,5.79
0.449,12.5
0.528,4
0.296,4.11
0.326,4
0.166,17.5
0.271,4
0.586,4.36
0.403,14.4
0.389,15.7
0.0145,17.2
-0.244,12.1
-0.189,6.77
0.00905,4
0.382,16
-0.117,4
-0.171,5.79
0.215,4
0.0203,4
0.436,14.7
-0.0805,16.3
0.377,4.67
0.366,4
0.398,15.5
0.551,8.31
0.391,15.7
-0.129,17.6
0.0497,16.6
0.378,16.2
-0.205,8.58
0.581,4
0.539,4.41
0.613,7.14
-0.188,6.36
0.0895,17.3
0.306,16.9
0.245,5.68
0.31,4
-0.104,4
-0.0365,16.8
0.141,18
0.176,4
0.103,17.3
0.396,12.3
0.24,17.2
0.236,4
0.164,17.8
0.183,4
-0.197,12
0.509,12
0.575,5.32
0.346,4.05
0.0248,16.6
0.098,17.6
0.0145,17.3
-0.0847,14.7
0.0193,18.1
0.153,4
-0.0123,16.9
0.506,12.2
0.131,18
-0.0194,16.3
0.0398,16.3
0.0327,17.4
-0.141,15.4
0.0171,4
0.0271,16
-0.198,8.19
0.305,4
-0.181,5.67
0.141,4
-0.137,4.74
0.155,4
0.179,18.2
-0.135,4.02
-0.296,9.84
0.205,4
-0.246,10.9
0.374,4
0.385,15.8
-0.0699,4
0.279,4
0.594,6.27
-0.166,13.9
0.517,11
0.0578,17.3
0.106,4
0.0346,16.7
-0.196,16.4
0.51,13
0.298,4
0.163,17.8
0.567,8.92
0.0838,17.7
0.0288,4
0.0938,4
0.357,16.4
0.444,4.34
0.196,5.85
0.432,4
0.478,4
-0.0847,14.7
0.0963,4
-0.206,9.31
0.00902,16.6
-0.18,5.6
0.213,17.4
0.524,4
