Theta,Va,Offset
     -1031000.0,       -37000.0,         6171.0
        -1000.0,         -200.0,          669.0
      -205625.0,        -2000.0,       -26048.0
      -149500.0,         8375.0,      -149626.0
      -139500.0,         9250.0,      -162133.0
       -64600.0,         7200.0,      -125717.0
       -61100.0,        12900.0,      -226609.0
           -0.0,           -1.0,            4.0
       -15500.0,         6500.0,      -116537.0
       369800.0,        37200.0,      -743521.0
      1559750.0,        35375.0,     -1133501.0
